Test File,Threads,Run,Computation Time (s),Matches Sequential
input100D2.inp,2,1,31.271688,Yes
input100D2.inp,2,2,31.326229,Yes
input100D2.inp,2,3,31.361002,Yes
input100D2.inp,2,4,31.237982,Yes
input100D2.inp,2,5,31.264944,Yes
input100D2.inp,4,1,15.668611,Yes
input100D2.inp,4,2,15.731886,Yes
input100D2.inp,4,3,15.699212,Yes
input100D2.inp,4,4,15.672673,Yes
input100D2.inp,4,5,15.657238,Yes
input100D2.inp,8,1,7.920819,Yes
input100D2.inp,8,2,7.920485,Yes
input100D2.inp,8,3,7.919188,Yes
input100D2.inp,8,4,7.904723,Yes
input100D2.inp,8,5,7.926954,Yes
input100D2.inp,16,1,4.274072,Yes
input100D2.inp,16,2,4.122539,Yes
input100D2.inp,16,3,4.137385,Yes
input100D2.inp,16,4,4.064611,Yes
input100D2.inp,16,5,4.164425,Yes
input100D2.inp,32,1,2.624138,Yes
input100D2.inp,32,2,2.566497,Yes
input100D2.inp,32,3,2.681508,Yes
input100D2.inp,32,4,2.611792,Yes
input100D2.inp,32,5,2.633049,Yes
input100D2.inp,64,1,2.82674,Yes
input100D2.inp,64,2,2.808179,Yes
input100D2.inp,64,3,2.842473,Yes
input100D2.inp,64,4,2.746517,Yes
input100D2.inp,64,5,2.832857,Yes
input100D.inp,2,1,0.586251,Yes
input100D.inp,2,2,0.58591,Yes
input100D.inp,2,3,0.586113,Yes
input100D.inp,2,4,0.586111,Yes
input100D.inp,2,5,0.588556,Yes
input100D.inp,4,1,0.336209,Yes
input100D.inp,4,2,0.294627,Yes
input100D.inp,4,3,0.293936,Yes
input100D.inp,4,4,0.294189,Yes
input100D.inp,4,5,0.294295,Yes
input100D.inp,8,1,0.184027,Yes
input100D.inp,8,2,0.150062,Yes
input100D.inp,8,3,0.149576,Yes
input100D.inp,8,4,0.1627,Yes
input100D.inp,8,5,0.159171,Yes
input100D.inp,16,1,0.10085,Yes
input100D.inp,16,2,0.105067,Yes
input100D.inp,16,3,0.097126,Yes
input100D.inp,16,4,0.097253,Yes
input100D.inp,16,5,0.099465,Yes
input100D.inp,32,1,0.084571,Yes
input100D.inp,32,2,0.064985,Yes
input100D.inp,32,3,0.093669,Yes
input100D.inp,32,4,0.079131,Yes
input100D.inp,32,5,0.072033,Yes
input100D.inp,64,1,0.095277,Yes
input100D.inp,64,2,0.109169,Yes
input100D.inp,64,3,0.102258,Yes
input100D.inp,64,4,0.104313,Yes
input100D.inp,64,5,0.107608,Yes
100k_100.inp,2,1,11.675979,Yes
100k_100.inp,2,2,11.508725,Yes
100k_100.inp,2,3,11.42854,Yes
100k_100.inp,2,4,11.521041,Yes
100k_100.inp,2,5,11.487935,Yes
100k_100.inp,4,1,5.756415,Yes
100k_100.inp,4,2,5.765334,Yes
100k_100.inp,4,3,5.762116,Yes
100k_100.inp,4,4,5.765218,Yes
100k_100.inp,4,5,5.764184,Yes
100k_100.inp,8,1,2.99097,Yes
100k_100.inp,8,2,2.990714,Yes
100k_100.inp,8,3,2.948972,Yes
100k_100.inp,8,4,2.951627,Yes
100k_100.inp,8,5,2.971309,Yes
100k_100.inp,16,1,1.605703,Yes
100k_100.inp,16,2,1.601544,Yes
100k_100.inp,16,3,1.633616,Yes
100k_100.inp,16,4,1.602334,Yes
100k_100.inp,16,5,1.67937,Yes
100k_100.inp,32,1,1.029844,Yes
100k_100.inp,32,2,1.081931,Yes
100k_100.inp,32,3,1.024696,Yes
100k_100.inp,32,4,1.016704,Yes
100k_100.inp,32,5,1.011292,Yes
100k_100.inp,64,1,1.066094,Yes
100k_100.inp,64,2,0.969685,Yes
100k_100.inp,64,3,0.969301,Yes
100k_100.inp,64,4,1.054055,Yes
100k_100.inp,64,5,1.03993,Yes
200k_100.inp,2,1,25.998869,Yes
200k_100.inp,2,2,26.024176,Yes
200k_100.inp,2,3,26.083887,Yes
200k_100.inp,2,4,26.041777,Yes
200k_100.inp,2,5,26.111553,Yes
200k_100.inp,4,1,13.18152,Yes
200k_100.inp,4,2,13.169693,Yes
200k_100.inp,4,3,13.14063,Yes
200k_100.inp,4,4,13.111905,Yes
200k_100.inp,4,5,13.17225,Yes
200k_100.inp,8,1,6.629025,Yes
200k_100.inp,8,2,6.668717,Yes
200k_100.inp,8,3,6.660945,Yes
200k_100.inp,8,4,6.652913,Yes
200k_100.inp,8,5,6.666785,Yes
200k_100.inp,16,1,3.494637,Yes
200k_100.inp,16,2,3.479792,Yes
200k_100.inp,16,3,3.480381,Yes
200k_100.inp,16,4,3.454428,Yes
200k_100.inp,16,5,3.443567,Yes
200k_100.inp,32,1,2.243163,Yes
200k_100.inp,32,2,2.222603,Yes
200k_100.inp,32,3,2.250103,Yes
200k_100.inp,32,4,2.233719,Yes
200k_100.inp,32,5,2.230482,Yes
200k_100.inp,64,1,1.415998,Yes
200k_100.inp,64,2,1.473436,Yes
200k_100.inp,64,3,1.488079,Yes
200k_100.inp,64,4,1.454645,Yes
200k_100.inp,64,5,1.416911,Yes
400k_100.inp,2,1,47.532619,Yes
400k_100.inp,2,2,47.463539,Yes
400k_100.inp,2,3,47.503647,Yes
400k_100.inp,2,4,47.311874,Yes
400k_100.inp,2,5,47.471001,Yes
400k_100.inp,4,1,23.710258,Yes
400k_100.inp,4,2,23.78558,Yes
400k_100.inp,4,3,23.918442,Yes
400k_100.inp,4,4,23.756962,Yes
400k_100.inp,4,5,24.257456,Yes
400k_100.inp,8,1,11.996573,Yes
400k_100.inp,8,2,12.174716,Yes
400k_100.inp,8,3,12.100002,Yes
400k_100.inp,8,4,12.025588,Yes
400k_100.inp,8,5,12.079165,Yes
400k_100.inp,16,1,6.312781,Yes
400k_100.inp,16,2,6.197031,Yes
400k_100.inp,16,3,6.16793,Yes
400k_100.inp,16,4,6.121314,Yes
400k_100.inp,16,5,6.145772,Yes
400k_100.inp,32,1,3.535815,Yes
400k_100.inp,32,2,3.602868,Yes
400k_100.inp,32,3,3.936768,Yes
400k_100.inp,32,4,3.756546,Yes
400k_100.inp,32,5,3.85052,Yes
400k_100.inp,64,1,2.438935,Yes
400k_100.inp,64,2,2.480506,Yes
400k_100.inp,64,3,2.461064,Yes
400k_100.inp,64,4,2.490792,Yes
400k_100.inp,64,5,2.435714,Yes
800k_100.inp,2,1,102.236053,Yes
800k_100.inp,2,2,103.171898,Yes
800k_100.inp,2,3,103.242821,Yes
800k_100.inp,2,4,102.938057,Yes
800k_100.inp,2,5,102.619034,Yes
800k_100.inp,4,1,51.381973,Yes
800k_100.inp,4,2,51.625744,Yes
800k_100.inp,4,3,51.431152,Yes
800k_100.inp,4,4,51.256828,Yes
800k_100.inp,4,5,51.47781,Yes
800k_100.inp,8,1,26.018112,Yes
800k_100.inp,8,2,26.278584,Yes
800k_100.inp,8,3,26.284674,Yes
800k_100.inp,8,4,26.308285,Yes
800k_100.inp,8,5,26.11842,Yes
800k_100.inp,16,1,13.189732,Yes
800k_100.inp,16,2,13.209591,Yes
800k_100.inp,16,3,13.303539,Yes
800k_100.inp,16,4,13.165009,Yes
800k_100.inp,16,5,13.195581,Yes
800k_100.inp,32,1,7.265248,Yes
800k_100.inp,32,2,7.599819,Yes
800k_100.inp,32,3,8.052552,Yes
800k_100.inp,32,4,7.368118,Yes
800k_100.inp,32,5,7.729176,Yes
800k_100.inp,64,1,5.241815,Yes
800k_100.inp,64,2,5.12056,Yes
800k_100.inp,64,3,5.409153,Yes
800k_100.inp,64,4,5.186959,Yes
800k_100.inp,64,5,5.531718,Yes
1600k_100.inp,2,1,156.071075,Yes
1600k_100.inp,2,2,156.185547,Yes
1600k_100.inp,2,3,157.199463,Yes
1600k_100.inp,2,4,156.490662,Yes
1600k_100.inp,2,5,154.44725,Yes
1600k_100.inp,4,1,79.535408,Yes
1600k_100.inp,4,2,78.440086,Yes
1600k_100.inp,4,3,79.394844,Yes
1600k_100.inp,4,4,78.520294,Yes
1600k_100.inp,4,5,78.30162,Yes
1600k_100.inp,8,1,39.516472,Yes
1600k_100.inp,8,2,39.661007,Yes
1600k_100.inp,8,3,39.816158,Yes
1600k_100.inp,8,4,40.427231,Yes
1600k_100.inp,8,5,39.903152,Yes
1600k_100.inp,16,1,20.198992,Yes
1600k_100.inp,16,2,20.169706,Yes
1600k_100.inp,16,3,20.37627,Yes
1600k_100.inp,16,4,20.275059,Yes
1600k_100.inp,16,5,20.273203,Yes
1600k_100.inp,32,1,10.88391,Yes
1600k_100.inp,32,2,11.83343,Yes
1600k_100.inp,32,3,10.663987,Yes
1600k_100.inp,32,4,13.555,Yes
1600k_100.inp,32,5,11.350159,Yes
1600k_100.inp,64,1,7.67,Yes
1600k_100.inp,64,2,7.977451,Yes
1600k_100.inp,64,3,7.874829,Yes
1600k_100.inp,64,4,7.875133,Yes
1600k_100.inp,64,5,7.94329,Yes
